id;name;description;price;image_url;rating;category_id
1;blah idolized;../fake-data/blob/hipster.txt;9669.79;bah needy;2.94;1
2;excellent;../fake-data/blob/hipster.txt;23179.05;inside;4.97;2
3;adventurously;../fake-data/blob/hipster.txt;17717.8;wise ingratiate;3.79;3
4;consequently vice;../fake-data/blob/hipster.txt;29217.73;headline that;0.46;4
5;anenst of;../fake-data/blob/hipster.txt;28824.02;minus across slake;1.37;5
6;finally joyfully ferret;../fake-data/blob/hipster.txt;31814.06;disbar alongside;3.59;6
7;median publicity in;../fake-data/blob/hipster.txt;3424.34;if woot;2.33;7
8;snack;../fake-data/blob/hipster.txt;6460.15;colorfully horn rationalise;1.78;8
9;vain strictly;../fake-data/blob/hipster.txt;9211.88;ack yearn around;3.89;9
10;impeccable reproachfully slow;../fake-data/blob/hipster.txt;20591.58;mid masculinize;3.87;10
